time_iso,t_rel_s,latitude,longitude,altitude_m,takeoff_loc_alt_mm,satellite_count,gps_signal_level,yaw_deg,vx_mps,vy_mps,vz_mps,speed_mps,flight_mode,is_gps_used,coord_valid
2025-09-18T05:09:07.337000+00:00,0.0,,,0.0,0,9,Level0,-59.2,0.0,0.0,0.0,0.0,GPSAtti,False,False
2025-09-18T05:09:07.437000+00:00,0.1,,,0.0,0,9,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:07.537000+00:00,0.2,,,0.0,0,9,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:07.637000+00:00,0.3,,,0.0,0,9,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:07.737000+00:00,0.4,,,0.0,0,9,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:07.837000+00:00,0.5,,,0.0,0,8,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:07.937000+00:00,0.6,,,0.0,3459.28955,8,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.037000+00:00,0.7,,,0.0,3459.28955,8,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.137000+00:00,0.8,,,0.0,3459.28955,8,Level0,-59.2,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.237000+00:00,0.9,,,0.0,3459.28955,8,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.337000+00:00,1.0,,,0.0,3459.28955,7,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.437000+00:00,1.1,,,0.0,3459.28955,7,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.537000+00:00,1.2,,,0.0,3459.28955,7,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.637000+00:00,1.3,,,0.0,3459.28955,7,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.737000+00:00,1.4,,,0.0,3459.28955,7,Level0,-59.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.837000+00:00,1.5,,,0.0,3459.28955,7,Level0,-59.4,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T05:09:08.937000+00:00,1.6,,,0.0,3459.28955,7,Level0,-50.7,0.1,0.1,-0.1,0.141,MotorsJustStarted,False,False
