time_iso,t_rel_s,latitude,longitude,altitude_m,takeoff_loc_alt_mm,satellite_count,gps_signal_level,yaw_deg,vx_mps,vy_mps,vz_mps,speed_mps,flight_mode,is_gps_used,coord_valid
2025-09-18T06:48:41.498000+00:00,0.0,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:41.598000+00:00,0.1,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:41.698000+00:00,0.2,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:41.798000+00:00,0.3,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:41.898000+00:00,0.4,,,0.0,0,7,Level0,88.0,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:41.998000+00:00,0.5,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.098000+00:00,0.6,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.198000+00:00,0.7,,,0.0,0,7,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.298000+00:00,0.8,,,0.0,0,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.398000+00:00,0.9,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.498000+00:00,1.0,,,0.0,3324.20264,15,Level0,88.0,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.598000+00:00,1.1,,,0.0,3324.20264,15,Level0,88.0,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.698000+00:00,1.2,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.798000+00:00,1.3,,,0.0,3324.20264,13,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.898000+00:00,1.4,,,0.0,3324.20264,13,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:42.998000+00:00,1.5,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.098000+00:00,1.6,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.198000+00:00,1.7,,,0.0,3324.20264,16,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.298000+00:00,1.8,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.398000+00:00,1.9,,,0.0,3324.20264,15,Level0,88.1,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.498000+00:00,2.0,,,0.0,3324.20264,15,Level0,88.3,0.0,0.0,0.0,0.0,MotorsJustStarted,False,False
2025-09-18T06:48:43.598000+00:00,2.1,,,0.0,3324.20264,14,Level0,89.7,0.0,0.0,0.0,0.0,AutoTakeoff,False,False
2025-09-18T06:48:43.698000+00:00,2.2,,,0.0,3324.20264,12,Level0,91.8,0.0,0.1,0.0,0.1,AutoTakeoff,False,False
2025-09-18T06:48:43.798000+00:00,2.3,,,0.0,3324.20264,12,Level0,94.5,0.0,0.1,0.0,0.1,AutoTakeoff,False,False
2025-09-18T06:48:43.898000+00:00,2.4,,,0.0,3324.20264,12,Level0,93.2,0.0,0.1,-0.1,0.1,AutoTakeoff,False,False
2025-09-18T06:48:43.998000+00:00,2.5,,,0.0,3324.20264,12,Level0,90.3,0.0,0.0,-0.2,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.098000+00:00,2.6,,,0.0,3324.20264,12,Level0,89.8,0.0,0.0,-0.3,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.198000+00:00,2.7,,,0.1,3324.20264,12,Level0,89.8,0.0,0.0,-0.3,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.298000+00:00,2.8,,,0.1,3324.20264,12,Level0,89.9,0.0,0.0,-0.4,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.398000+00:00,2.9,,,0.2,3324.20264,12,Level0,90.0,0.0,0.0,-0.4,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.498000+00:00,3.0,,,0.2,3324.20264,12,Level0,90.1,0.0,0.0,-0.4,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.598000+00:00,3.1,,,0.2,3324.20264,12,Level0,90.1,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.698000+00:00,3.2,,,0.3,3324.20264,12,Level0,90.1,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.798000+00:00,3.3,,,0.4,3324.20264,12,Level0,90.1,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.898000+00:00,3.4,,,0.4,3324.20264,12,Level0,89.9,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:44.998000+00:00,3.5,,,0.5,3324.20264,13,Level0,89.9,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:45.098000+00:00,3.6,,,0.5,3324.20264,13,Level0,88.4,0.0,0.0,-0.3,0.0,AutoTakeoff,False,False
2025-09-18T06:48:45.198000+00:00,3.7,,,0.5,3324.20264,13,Level0,85.3,0.0,0.0,-0.1,0.0,AutoTakeoff,False,False
2025-09-18T06:48:45.298000+00:00,3.8,,,0.5,3324.20264,13,Level0,81.3,0.0,-0.1,0.0,0.1,AutoTakeoff,False,False
2025-09-18T06:48:45.398000+00:00,3.9,,,0.5,3324.20264,13,Level0,58.2,0.0,-0.1,0.2,0.1,AutoTakeoff,False,False
2025-09-18T06:48:45.498000+00:00,4.0,,,0.5,3324.20264,13,Level0,40.4,0.0,-0.2,0.3,0.2,AutoTakeoff,False,False
2025-09-18T06:48:45.598000+00:00,4.1,,,0.5,3324.20264,13,Level0,41.7,0.2,-0.3,0.0,0.361,AutoTakeoff,False,False
2025-09-18T06:48:45.698000+00:00,4.2,,,0.5,3324.20264,13,Level0,49.1,0.2,0.0,-0.5,0.2,AutoTakeoff,False,False
2025-09-18T06:48:45.798000+00:00,4.3,,,0.6,3324.20264,13,Level0,58.0,0.1,0.2,-0.8,0.224,AutoTakeoff,False,False
2025-09-18T06:48:45.898000+00:00,4.4,,,0.7,3324.20264,13,Level0,65.9,0.0,0.3,-0.8,0.3,AutoTakeoff,False,False
2025-09-18T06:48:45.998000+00:00,4.5,,,0.8,3324.20264,13,Level0,72.2,0.0,0.1,-0.8,0.1,AutoTakeoff,False,False
2025-09-18T06:48:46.098000+00:00,4.6,,,0.8,3324.20264,13,Level0,78.0,0.0,0.0,-0.7,0.0,AutoTakeoff,False,False
2025-09-18T06:48:46.198000+00:00,4.7,,,0.9,3324.20264,13,Level0,83.4,0.0,-0.1,-0.6,0.1,AutoTakeoff,False,False
2025-09-18T06:48:46.298000+00:00,4.8,,,1.0,3324.20264,13,Level0,88.1,0.0,-0.1,-0.6,0.1,AutoTakeoff,False,False
2025-09-18T06:48:46.398000+00:00,4.9,,,1.0,3324.20264,13,Level0,89.5,0.0,0.0,-0.5,0.0,AutoTakeoff,False,False
2025-09-18T06:48:46.498000+00:00,5.0,,,1.1,3324.20264,13,Level0,89.9,0.0,0.0,-0.4,0.0,GPSAtti,False,False
2025-09-18T06:48:46.598000+00:00,5.1,,,1.1,3324.20264,14,Level0,90.0,0.0,0.0,-0.2,0.0,GPSAtti,False,False
